,Sentence,Sentiment,Translated_Sentence
0,"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .",positive,"Teknologi GeoSolutions akan memanfaatkan solusi GPS Benefon dengan menyediakan Teknologi Pencarian Berbasis Lokasi, Platform Komunitas, konten multimedia yang relevan dengan lokasi dan model komersial yang baru dan kuat."
1,"$ESI on lows, down $1.50 to $2.50 BK a real possibility",negative,"$ESI pada posisi terendah, turun $1,50 menjadi $2,50 BK kemungkinan nyata"
2,"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,"Untuk kuartal terakhir tahun 2010, penjualan bersih Componenta berlipat ganda menjadi EUR131 juta dari EUR76m untuk periode yang sama tahun sebelumnya, sementara itu bergerak ke laba sebelum pajak nol dari kerugian sebelum pajak sebesar EUR7m."
3,"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .",neutral,"Menurut Kamar Dagang Finlandia-Rusia, semua perusahaan konstruksi utama Finlandia beroperasi di Rusia."
4,"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .",neutral,"Perusahaan pembelian Swedia telah menjual sisa 22,4 persen sahamnya, hampir delapan belas bulan setelah membawa perusahaan itu ke publik di Finlandia."
5,$SPY wouldn't be surprised to see a green close,positive,$SPY tidak akan terkejut melihat penutupan hijau
6,Shell's $70 Billion BG Deal Meets Shareholder Skepticism,negative,Kesepakatan BG $70 Miliar Shell Memenuhi Skeptisisme Pemegang Saham
7,"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",negative,SSH COMMUNICATIONS SECURITY CORP RELEASE BURSA EFEK 14 OKTOBER 2008 PUKUL 14:45 Perusahaan memperbarui prospek setahun penuh dan memperkirakan hasilnya tetap merugi selama setahun penuh.
8,Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,positive,Penjualan bersih Kone naik sekitar 14% tahun-ke-tahun dalam sembilan bulan pertama tahun 2008 .
9,"The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million .",neutral,Department store Stockmann akan memiliki total luas lantai lebih dari 8.000 meter persegi dan investasi Stockmann dalam proyek tersebut akan memiliki harga sekitar EUR 12 juta.
10,Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,positive,Pendapatan sirkulasi telah meningkat sebesar 5% di Finlandia dan 4% di Swedia pada tahun 2008 .
11,$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,negative,$SAP Q1 mengecewakan karena #lisensi perangkat lunak turun. Masalah nyata? #Jejak pertumbuhan cloud $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5
12,"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .",positive,"Subdivisi menghasilkan pendapatan penjualan tahun lalu sebesar EUR 480,7 juta EUR 414,9 juta pada tahun 2008, dan laba operasional sebesar EUR 44,5 juta EUR 7,4 juta."
13,Viking Line has canceled some services .,neutral,Viking Line telah membatalkan beberapa layanan.
14,"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",neutral,PENGUMUMAN BURSA EFEK Ahlstrom Corporation 2007/07/07 pukul 10.30 Sebanyak 56.955 saham baru Ahlstrom Corporation telah diambil bagian dengan hak opsi di bawah program opsi saham perusahaan I 2001 dan II 2001 .
15,$FB gone green on day,positive,$FB menjadi hijau pada hari itu
16,$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,positive,$MSFT Pendapatan SQL Server tumbuh dua digit dengan pendapatan SQL Server Premium tumbuh lebih dari 30% http://stks.co/ir2F
17,"According to L+ñnnen Tehtaat 's CEO Matti Karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does .",neutral,"Menurut CEO L+ñnnen Tehtaat Matti Karppinen, perusahaan bertujuan untuk mengirimkan produk ikan kepada pelanggannya sehari lebih awal dari saat ini."
18,The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .,neutral,Saham perusahaan dikutip di NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .
19,Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. .,neutral,Elcoteq SE terdaftar di Nasdaq OMX Helsinki Ltd.
20,Two of these contracts are for turntable anode vibrocompactors that will be delivered to Gansu Hualu Aluminum Co Ltd and another unnamed costumer .,neutral,Dua dari kontrak ini adalah untuk vibrokompaktor anoda meja putar yang akan dikirimkan ke Gansu Hualu Aluminium Co Ltd dan pelanggan lain yang tidak disebutkan namanya.
21,"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",positive,"Aviva, perkiraan teratas Friends Life menjelang merger 5,6 miliar pound"
22,"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .",neutral,"Alih-alih berbahan dasar minuman ringan seperti biasa, minuman energi Teho dibuat dengan air tawar."
23,The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,neutral,Perusahaan berencana menambah staf spesialis unit menjadi beberapa lusin -- tergantung pada situasi pasar selama 2010 .
24,The company closed last year with a turnover of about four million euros .,neutral,Perusahaan ditutup tahun lalu dengan omset sekitar empat juta euro.
25,Shire CEO steps up drive to get Baxalta board talking,positive,CEO Shire meningkatkan upaya untuk membuat dewan Baxalta berbicara
26,Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,positive,Costco: Pembagian Dividen Ritel Premier https://t.co/Fa5cnh2t0t $COST
27,"The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .",neutral,Bangunan lima lantai yang eko-efisien akan memiliki luas lantai kotor sekitar 15.000 m2. Ini juga akan mencakup apartemen .
28,"The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards .",neutral,"Angsuran pertama dari Seri Sinema diakhiri dengan profil penemu Finlandia Olavi Linden, yang perjalanan artistik pribadinya dan pekerjaannya di Fiskars telah menghasilkan lusinan penghargaan desain."
29,All are welcome .,neutral,Semua dipersilakan.
30,"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .",positive,"Stockmann dan perusahaan sektor Swedia AB Lindex menandatangani perjanjian pada tanggal 30 September 2007, dimana Stockmann, atau anak perusahaan yang dimiliki sepenuhnya olehnya, akan melakukan penawaran tender publik untuk semua saham yang diterbitkan Lindex."
31,"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .",neutral,"RELEASE BURSA EFEK HUHTAMAKI OYJ , 16.9.2008 PUKUL 13.32 Hari Pasar Modal Huhtamaki untuk investor institusi dan analis diadakan di Espoo , 16 September 2008 mulai pukul 13.30 waktu Finlandia ."
32,`` We are pleased to welcome Tapeks Noma into Cramo group .,positive,`` Dengan senang hati kami menyambut Tapeks Noma ke dalam grup Cramo .
33,- Profit before taxes was EUR 105.9 82.7 million .,neutral,"- Laba sebelum pajak adalah EUR 105,9 82,7 juta ."
34,Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,positive,Royal Dutch Shell akan Membeli BG Group dengan Harga Hampir $70 Miliar
35,"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",neutral,"FinancialWire tm bukan layanan siaran pers, dan tidak menerima kompensasi atas berita, opini, atau distribusinya."
36,ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,neutral,"ASSA ABLOY Kaupthing Bank memberikan rekomendasi 'netral' dan target harga saham 174 crowns $24,7-19 euro pada pembuat kunci Swedia Assa Abloy AB."
37,"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .",positive,"Item tersebut termasuk biaya restrukturisasi EUR1,6 m, sementara tahun sebelumnya mereka EUR13,1 m. EPS terdilusi berdiri di EUR0,3 versus kerugian per saham EUR 0,1."
38,In 2005 the bank posted a net profit of Lt 8.2 mn .,neutral,"Pada tahun 2005 bank membukukan laba bersih sebesar Lt 8,2 juta."
39,$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,negative,Penjualan sore $AAPL seperti biasa akan brutal. bersiaplah untuk kehilangan banyak uang.
