,Sentiment,Text,translated_text
0,neutral,"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .","Menurut Gran, perusahaan tidak memiliki rencana untuk memindahkan semua produksi ke Rusia, meskipun di sanalah perusahaan berkembang."
1,neutral,"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .","Technopolis berencana untuk mengembangkan secara bertahap area seluas tidak kurang dari 100.000 meter persegi untuk menampung perusahaan yang bekerja di bidang teknologi komputer dan telekomunikasi, kata pernyataan itu."
2,negative,"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .","Perusahaan industri elektronik internasional Elcoteq telah memberhentikan puluhan karyawan dari fasilitas Tallinn-nya; bertentangan dengan PHK sebelumnya, perusahaan mengontrak jajaran pekerja kantornya, harian Posttimees melaporkan."
3,positive,With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,"Dengan pabrik produksi baru, perusahaan akan meningkatkan kapasitasnya untuk memenuhi peningkatan permintaan yang diharapkan dan akan meningkatkan penggunaan bahan baku dan oleh karena itu meningkatkan profitabilitas produksi."
4,positive,"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .","Sesuai dengan strategi terbaru perusahaan untuk tahun 2009-2012, Basware menargetkan pertumbuhan penjualan bersih jangka panjang di kisaran 20%-40% dengan margin laba usaha 10%-20% dari penjualan bersih."
5,positive,FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,PEMBIAYAAN PERTUMBUHAN ASPOCOMP Aspocomp secara agresif mengejar strategi pertumbuhannya dengan semakin berfokus pada PCB papan sirkuit cetak HDI yang lebih menuntut teknologi.
6,positive,"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .","Untuk kuartal terakhir tahun 2010, penjualan bersih Componenta berlipat ganda menjadi EUR131 juta dari EUR76m untuk periode yang sama tahun sebelumnya, sementara itu bergerak ke laba sebelum pajak nol dari kerugian sebelum pajak sebesar EUR7m."
7,positive,"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .","Pada kuartal ketiga tahun 2010, penjualan bersih meningkat sebesar 5,2% menjadi EUR 205,5 juta, dan laba operasional sebesar 34,9% menjadi EUR 23,5 juta."
8,positive,Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,"Laba operasional naik menjadi EUR 13,1 juta dari EUR 8,7 juta pada periode yang sama di tahun 2007 yang mewakili 7,7% dari penjualan bersih."
9,positive,"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .","Laba operasional mencapai EUR 21,1 juta, naik dari EUR 18,6 juta pada tahun 2007, mewakili 9,7% dari penjualan bersih."
10,positive,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,TeliaSonera TLSN mengatakan tawaran itu sejalan dengan strateginya untuk meningkatkan kepemilikannya dalam kepemilikan bisnis inti dan akan memperkuat penawaran Eesti Telekom kepada pelanggannya.
11,positive,"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .","STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) menaikkan nilai wajar untuk saham di empat grup kehutanan Nordik terbesar ."
12,positive,"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .","Perjanjian pembelian 7.200 ton bensin dengan pengiriman di terminal Hamina, Finlandia, ditandatangani dengan Neste Oil OYj pada indeks Platts rata-rata untuk September ini ditambah delapan dolar AS per bulan."
13,positive,"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .","Finnish Talentum melaporkan laba operasinya meningkat menjadi EUR 20,5 juta pada tahun 2005 dari EUR 9,3 juta pada tahun 2004, dan penjualan bersih mencapai EUR 103,3 juta, naik dari EUR 96,4 juta."
14,positive,"Clothing retail chain Sepp+Æl+Æ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .","Penjualan rantai ritel pakaian Sepp+Æl+Æ meningkat sebesar 8% menjadi EUR 155,2 juta , dan laba operasional naik menjadi EUR 31,1 juta dari EUR 17,1 juta pada tahun 2004 ."
15,positive,"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .","Penjualan bersih konsolidasi meningkat 16% hingga mencapai EUR74,8 juta, sedangkan laba operasi mencapai EUR0,9 juta dibandingkan dengan kerugian EUR0,7 juta pada periode tahun sebelumnya."
16,positive,"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .","Divisi Foundries melaporkan penjualannya meningkat sebesar 9,7 % menjadi EUR 63,1 juta dari EUR 57,5 ​​juta pada periode yang sama tahun 2006 , dan penjualan divisi Machine Shop meningkat sebesar 16,4% menjadi EUR 41,2 juta dari EUR 35,4 juta pada periode yang sama tahun 2006 ."
17,positive,"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .","HELSINKI (AFX) - Saham ditutup lebih tinggi, dipimpin oleh Nokia setelah mengumumkan rencana untuk bekerja sama dengan Sanyo untuk memproduksi handset 3G, dan oleh Nokian Tires setelah laporan pendapatan kuartal keempat mengalahkan ekspektasi analis, kata dealer."
18,positive,"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .","Incap Contract Manufacturing Services Pvt Ltd , anak perusahaan Incap Corporation Finlandia , berencana untuk melipatgandakan pendapatannya pada 2007-2008 ."
19,positive,"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .","Dewan direksinya akan mengusulkan dividen sebesar EUR0,12 per saham untuk tahun 2010, naik dari EUR0,08 per saham yang dibayarkan pada tahun 2009 ."
20,positive,"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .","Lifetree didirikan pada tahun 2000, dan pendapatannya meningkat rata-rata 40% dengan margin di akhir 30-an."
21,positive,"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .","( Filippova ) Perjanjian trilateral tentang investasi dalam pembangunan taman teknologi di St Petersburg akan ditandatangani dalam forum , Hari Ekonomi Rusia , yang dibuka di Helsinki hari ini ."
22,positive,"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .","Basis pelanggan MegaFon meningkat 16,1% pada tahun 2009 menjadi 50,5 juta pengguna pada tanggal 31 Desember, sedangkan pangsa pasarnya dengan jumlah pelanggan sebesar 24% pada akhir 2009, naik dari 23% pada akhir 2008, menurut perkiraan TeliaSonera ."
23,positive,"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .","Laba bersih dari asuransi jiwa berlipat ganda menjadi EUR 6,8 juta dari EUR 3,2 juta , dan laba bersih dari asuransi non-jiwa naik menjadi EUR 5,2 juta dari EUR 1,5 juta pada periode yang sama di tahun 2009 ."
24,positive,Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),"Penjualan bersih meningkat menjadi EUR193 .3 m dari EUR179 .9 m dan laba sebelum pajak naik 34,2% menjadi EUR43 ,1 m. ( EUR1 = USD1,4 )"
25,positive,"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .","Penjualan bersih melonjak 18,5% menjadi EUR167,8 m. Teleste mengatakan bahwa EUR20 ,4 m , atau 12,2% , dari penjualan berasal dari akuisisi yang dilakukan pada tahun 2009 ."
26,positive,Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,"Laba operasi Nordea Group meningkat pada 2010 sebesar 18 persen tahun-ke-tahun menjadi 3,64 miliar euro dan total pendapatan sebesar 3 persen menjadi 9,33 miliar euro."
27,positive,"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .","Laba operasional untuk periode sembilan bulan meningkat dari EUR13,6 m , sedangkan penjualan bersih meningkat dari EUR394,7 m , dibandingkan dengan periode yang sama tahun 2005 ."
28,positive,"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .","Laba operasional untuk periode sembilan bulan meningkat dari EUR3 ,1 m dan penjualan bersih meningkat dari EUR61,5 m , dibandingkan dengan periode yang sama tahun 2007 ."
29,positive,"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .","Laba operasional untuk periode tiga bulan meningkat dari EUR1,2 juta, sedangkan pendapatan meningkat dari EUR20,2 juta, dibandingkan dengan periode yang sama pada tahun 2005."
30,positive,"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+_o , as saying .","Unit penyedia solusi keamanan Finlandia F-Secure Brasil mendaftarkan 1.500 klien baru tahun lalu, sumber berita online Reseller Web mengutip direktur komersial divisi tersebut, Vladimir Brand+_o, mengatakan."
31,positive,"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .","Laba bersih perusahaan naik 11,4% pada tahun ini menjadi 82,2 juta euro pada 2005 dari penjualan 686,5 juta euro, naik 13,8% pada tahun itu, kata perusahaan sebelumnya."
32,positive,"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .","Pasar bir Lituania mencapai 14,41 juta liter pada Januari, naik 0,8 persen dari angka tahun sebelumnya, Asosiasi Pembuat Bir Lituania melaporkan hasil dari para anggotanya."
33,positive,"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .","Pendapatan kargo Viking Line meningkat 5,4% menjadi EUR 21,46 juta, dan volume kargo meningkat 2,4% menjadi 70.116 unit kargo."
34,positive,"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .","Nilai wajar dari portofolio properti berlipat ganda sebagai akibat dari akuisisi Kapiteeli dan berjumlah EUR 2.686,2 1.259,7 juta ."
35,positive,10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,"10 Februari 2011 - Perusahaan media Finlandia Sanoma Oyj HEL ​​: SAA1V kemarin mengatakan laba bersih 2010 hampir tiga kali lipat menjadi EUR297,3 m dari EUR107,1 juta untuk 2009 dan mengumumkan proposal untuk peningkatan pembayaran ."
36,positive,"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .","A Helsinki : ELIiV hari ini melaporkan EPS sebesar EUR1,13 untuk tahun 2009 , meningkat dari EPS sebesar EUR1,12 pada tahun 2008 ."
37,positive,"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .","RELEASE BURSA SAHAM Aspo Plc 11 Februari 2011 pukul 08.45 ESL Shipping Ltd, bagian dari Aspo Group, telah menandatangani kontrak jangka panjang baru dengan Rautaruukki Corporation untuk pengangkutan bahan baku laut di Laut Baltik."
38,positive,"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .","Pendapatan komisi meningkat 22% menjadi EUR 4,4 juta, dan volume pinjaman naik 13,5%."
39,positive,"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .","Pada bulan Januari, lalu lintas, diukur dalam pendapatan penumpang kilometer RPK, naik sebesar 3,2% dan kapasitas, diukur dalam kursi yang tersedia kilometer ASK, naik 12,2%."
40,positive,"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .","Pada Januari-September 2010, laba bersih Fiskars naik 14% tahun-ke-tahun menjadi EUR 65,4 juta dan penjualan bersih menjadi EUR 525,3 juta dari EUR 487,7 juta."
