,ID,review,polarity,division,translated_review
0,3870,able play youtube alexa,0.5,positive,bisa main youtube alexa
1,62,able recognize indian accent really well drop function helpful call device talk person near device smart plug schedule work seamlessly con would sound kindloud but lack clarity mid frequency need tweeked optimum clarity rarely device doesnt respond call alexa,0.2794,positive,"dapat mengenali aksen India dengan sangat baik, fungsi penurunan, perangkat panggilan yang membantu, bicara, orang di dekat perangkat, smart plug, jadwal, bekerja dengan mulus, akan terdengar nyaring, tetapi tidak memiliki kejelasan, frekuensi menengah, perlu disesuaikan, kejelasan optimal, jarang, perangkat tidak merespons panggilan alexa."
2,487,absolute smart device amazon connect external sub woofer sound amaze recons voice even close room like almost collection songs english hindi must quite moneys worth,0.1827,positive,perangkat pintar mutlak amazon menghubungkan suara sub woofer eksternal memukau suara pengintaian bahkan menutup ruangan seperti hampir koleksi lagu bahasa inggris hindi harus cukup bernilai uang
3,3204,absolutely amaze new member family control home voice connect home anywhere world,0.3682,positive,benar-benar memukau anggota baru keluarga mengontrol suara rumah menghubungkan rumah di mana saja dunia
4,1265,absolutely amaze previously sceptical invest money but arrive worth ityou absolutely buy wont regret cheer,0.2333,positive,"benar-benar memukau sebelumnya skeptis menginvestasikan uang tetapi tiba sepadan, Anda benar-benar membeli tidak akan menyesal bersorak"
5,53,absolutely cheat customer if buy amazon product definitely want buy amazon prime members also case if song want play absolutely need amazon prime membership otherwise can not play music app no google apps not work amazon alexa if anybody want amazon alexa go google home everything also free cost app,0.135,positive,"benar-benar menipu pelanggan jika membeli produk amazon pasti ingin membeli anggota utama amazon juga jika lagu ingin diputar benar-benar membutuhkan keanggotaan utama amazon jika tidak, tidak dapat memutar aplikasi musik tidak ada aplikasi google tidak berfungsi amazon alexa jika ada yang ingin amazon alexa pergi google home semuanya juga aplikasi biaya gratis"
6,257,absolutely house hold item fair price intuitive speech recognition superb use hindi english sometimes hinglish also big thank amazon team even place draw room call alexa bedroom ears us play favourite songs flawlessly overall best fit must guess guests visit us purchase enjoy performance must buy,0.425,positive,benar-benar barang rumah tangga harga wajar pengenalan suara intuitif penggunaan luar biasa bahasa inggris hindi kadang-kadang bahasa inggris juga besar terima kasih tim amazon bahkan tempatkan panggilan kamar tidur alexa telinga kamar tidur kami memainkan lagu favorit dengan sempurna secara keseluruhan paling cocok harus menebak tamu mengunjungi kami membeli menikmati kinerja harus membeli
7,1258,absolutely mind blow device beautiful shape excellent work nice performance verry easy usebut problem no battery storage work pluggedotherwise amaze,0.5262,positive,benar-benar perangkat pukulan pikiran bentuk yang indah pekerjaan yang sangat baik kinerja yang bagus sangat mudah digunakan tetapi masalah tidak ada penyimpanan baterai yang berfungsi jika tidak memukau
8,3499,accept dutch language,0.0,neutral,terima bahasa belanda
9,2578,accessibility limit amazon apps music appsexcellent use bluetooth speaker,-0.0905,negative,batas aksesibilitas aplikasi amazon aplikasi musik penggunaan yang sangat baik speaker bluetooth
10,2508,accha hain magar month baad issme pata ni kia hua chalta hi ni hain,0.0,neutral,accha hain magar bulan baad issme pata ni kia hua chalta hi ni hain
